City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Ullal,IN,75.2,mist,12.8,74.85,AK INTERNATIONAL LODGE
3,Port Moresby,PG,75.2,moderate rain,-9.4431,147.1797,Lamana Hotel
5,Rikitea,PF,79.57,clear sky,-23.1203,-134.9692,Pension Maro'i
6,Rio Gallegos,AR,62.6,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
7,Cape Town,ZA,71.01,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Chimore,BO,74.23,overcast clouds,-16.9833,-65.1333,Bichito
10,Kaitangata,NZ,61.0,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
11,Manama,BH,64.4,clear sky,26.2154,50.5832,Al Safir Hotel & Tower
12,Ambilobe,MG,72.61,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
14,Ribeira Grande,PT,63.16,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
15,Baturaja,ID,75.88,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
17,Rusape,ZW,62.15,overcast clouds,-18.5278,32.1284,Surrey Lodge
18,Tuatapere,NZ,66.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
20,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Lakes Entrance,AU,68.0,few clouds,-37.8811,147.981,The Esplanade Resort & Spa
23,Bredasdorp,ZA,64.99,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
25,Mataura,NZ,71.98,overcast clouds,-46.1927,168.8643,Ellie's Villa
32,Tessalit,ML,61.95,clear sky,20.1986,1.0114,
34,Galle,LK,77.04,overcast clouds,6.0367,80.217,Amangalla
39,Castro,BR,65.57,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
41,Lagoa,PT,61.9,overcast clouds,39.05,-27.9833,Casa Das Faias
45,Progreso,MX,77.0,broken clouds,21.2833,-89.6667,Playa Linda Hotel
49,Rawson,AR,60.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
52,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
53,The Valley,AI,77.0,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
56,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
57,Banjarmasin,ID,78.8,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
58,Belmonte,BR,78.8,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
62,Victoria,HK,64.0,clear sky,22.2855,114.1577,Mini Hotel Central
63,New Norfolk,AU,77.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
66,Hobart,AU,75.99,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
67,Kapaa,US,77.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
69,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Rockport,US,69.8,mist,28.0206,-97.0544,Holiday Inn Express & Suites Rockport - Bay View
73,Vila Franca Do Campo,PT,62.6,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
78,Cuamba,MZ,69.01,overcast clouds,-14.8031,36.5372,Hotel Vision
79,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
81,Maraa,BR,76.48,scattered clouds,-1.8333,-65.3667,
83,Bengkulu,ID,74.43,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
90,Praia,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
93,Grand Gaube,MU,75.99,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
95,Puerto Quijarro,BO,78.3,overcast clouds,-17.7833,-57.7667,Hotel palance
96,Atuona,PF,79.25,broken clouds,-9.8,-139.0333,Villa Enata
97,Karpathos,GR,60.8,clear sky,35.507,27.2132,Alex
98,Pisco,PE,71.6,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
102,Codrington,AU,65.07,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
103,Saint-Louis,SN,77.0,clear sky,16.3333,-15.0,
104,Buchanan,LR,75.2,mist,5.8808,-10.0467,Kamaneahn Hotel Inc
106,Rocha,UY,64.62,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
107,Isla Mujeres,MX,77.0,scattered clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
110,San Policarpo,PH,79.88,overcast clouds,12.1791,125.5072,JM Lodge
117,Luena,AO,62.37,overcast clouds,-11.7833,19.9167,Hotel Kandamba
119,Mount Gambier,AU,64.4,broken clouds,-37.8333,140.7667,Commodore on the Park
121,Broken Hill,AU,77.0,scattered clouds,-31.95,141.4333,Royal Exchange Hotel
122,Quang Ngai,VN,70.63,overcast clouds,15.1167,108.8,Central Hotel
124,Kaeo,NZ,73.0,clear sky,-35.1,173.7833,Bushido Lodge
125,Wagar,SD,60.82,clear sky,16.1525,36.2032,
126,Mangrol,IN,61.38,clear sky,21.1167,70.1167,Hotel The Royal Honours
128,Puerto Ayora,EC,78.01,broken clouds,-0.7393,-90.3518,Castillo Galapagos
130,Hermanus,ZA,64.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
131,Camacupa,AO,61.48,overcast clouds,-12.0167,17.4833,
