City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Anchorage,US,61.2181,-149.9003,23.0,68,1,5.75,clear sky
1,Seoul,KR,37.5683,126.9778,32.0,64,0,8.05,clear sky
2,Ullal,IN,12.8,74.85,75.2,83,0,5.75,mist
3,Port Moresby,PG,-9.4431,147.1797,75.2,94,75,10.36,moderate rain
4,Chokurdakh,RU,70.6333,147.9167,-29.79,85,41,8.23,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,79.57,70,0,10.74,clear sky
6,Rio Gallegos,AR,-51.6226,-69.2181,62.6,34,0,16.11,clear sky
7,Cape Town,ZA,-33.9258,18.4232,71.01,77,75,5.75,broken clouds
8,Yellowknife,CA,62.456,-114.3525,-11.99,77,20,4.61,few clouds
9,Chimore,BO,-16.9833,-65.1333,74.23,95,100,1.63,overcast clouds
10,Kaitangata,NZ,-46.2817,169.8464,61.0,80,100,14.0,overcast clouds
11,Manama,BH,26.2154,50.5832,64.4,59,0,14.97,clear sky
12,Ambilobe,MG,-13.2,49.05,72.61,93,0,2.53,clear sky
13,Blagoyevo,RU,63.3667,47.9167,22.91,97,98,6.62,overcast clouds
14,Ribeira Grande,PT,38.5167,-28.7,63.16,91,97,22.06,overcast clouds
15,Baturaja,ID,-4.1333,104.1667,75.88,89,100,4.36,overcast clouds
16,Klaksvik,FO,62.2266,-6.589,32.0,69,40,26.46,scattered clouds
17,Rusape,ZW,-18.5278,32.1284,62.15,96,100,3.06,overcast clouds
18,Tuatapere,NZ,-46.1333,167.6833,66.83,45,100,0.78,overcast clouds
19,Kavieng,PG,-2.5744,150.7967,83.41,71,97,14.05,overcast clouds
20,Mahebourg,MU,-20.4081,57.7,78.8,83,40,8.05,scattered clouds
21,Barrow,US,71.2906,-156.7887,-14.8,70,90,4.61,haze
22,Lakes Entrance,AU,-37.8811,147.981,68.0,63,14,1.01,few clouds
23,Bredasdorp,ZA,-34.5322,20.0403,64.99,86,0,6.22,clear sky
24,Olafsvik,IS,64.8945,-23.7142,23.04,89,30,16.82,scattered clouds
25,Mataura,NZ,-46.1927,168.8643,71.98,37,96,3.56,overcast clouds
26,Torbay,CA,47.6666,-52.7314,28.99,93,90,8.05,overcast clouds
27,Cayenne,GF,4.9333,-52.3333,80.6,89,75,9.22,broken clouds
28,Gat,IL,31.61,34.7642,55.0,58,0,1.01,clear sky
29,Stornoway,GB,58.2093,-6.3865,37.99,60,75,6.91,broken clouds
30,Kruisfontein,ZA,-34.0033,24.7314,59.0,90,0,1.01,clear sky
31,Fortuna,US,40.5982,-124.1573,53.01,87,90,21.85,moderate rain
32,Tessalit,ML,20.1986,1.0114,61.95,24,0,11.3,clear sky
33,Pingzhuang,CN,42.0372,119.2889,9.45,92,100,6.33,overcast clouds
34,Galle,LK,6.0367,80.217,77.04,86,98,4.21,overcast clouds
35,Brae,GB,60.3964,-1.353,33.8,93,40,3.44,scattered clouds
36,Komsomolskiy,UZ,40.4272,71.7189,33.8,47,100,4.61,overcast clouds
37,Cherskiy,RU,68.75,161.3,-35.3,83,0,0.96,clear sky
38,Busselton,AU,-33.65,115.3333,80.01,52,0,8.23,clear sky
